,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
0,-1044.5073877413247,-6.258672245540315,-0.5612708372542289,-0.7385093768026232,1.548550696597645,1.3925009263026695,-0.8625067095020048
1,-1043.5075851545794,-6.293899898591252,-0.887175751261774,-0.5383035767262607,1.8450716648658811,0.6378709235329194,-0.14377603697061092
2,-1042.5074786394723,-6.193678247122034,-1.2146811333993528,-0.43454600128336485,1.9631681196396156,0.3602698181716652,0.1132411178400479
3,-1041.5074769344965,-6.341299408768984,-1.4173601326306413,0.14770457801720585,2.157631832114899,-0.012499504512521454,-0.5244452432383674
4,-1040.5072451821084,-6.4152572730741575,-1.5383762330619286,0.3001965691053554,2.315847835267778,0.02269989429895401,-0.14621335860194012
5,-1039.5071558089585,-6.391649093320005,-1.6927785800511017,0.5640536023454954,2.0570202066091174,-0.0009337994933584521,0.18061532205069333
6,-1038.5073597804603,-6.10274570155807,-1.3737159863932318,-0.23722725241127707,1.8440361657858675,0.17057697585875126,0.018158116760059274
7,-1037.5075634444272,-6.262168651603872,-0.8018610466513021,-0.4997029303984966,1.8738867967695054,0.5575393511417204,-0.7086967384955003
8,-1036.5074970635483,-6.328473020340934,-1.110632676236115,-0.4051808169866994,1.9434083928275527,0.7065653714297613,-0.35875829787678815
9,-1035.5075544685815,-5.880257691239007,-1.4082646571777369,-0.04411480577092163,1.1647185153819726,-0.38227579960303854,0.37608308502182597
10,-1034.5074671815275,-5.928173545163631,-1.4256513985719959,-0.057451806193123046,1.6000671614858644,-0.3712897602111408,0.3096748920944959
11,-1033.5072153201638,-6.664619684071165,-1.858134529197148,1.0324911287808038,2.2434153326319652,0.6341652412249614,-0.5028955032795518
12,-1032.5071345182682,-6.709146450298596,-1.708902122426951,0.7240684055336954,2.43117978132896,0.9079038083594083,-0.31508805394040446
13,-1031.5071386897,-6.651100082742309,-2.2877284675554677,0.9981793574617358,2.4433248927160767,0.3617954705671308,0.47235471413840424
14,-1030.5083559973789,-0.9049851989529704,3.1619764507574777,-1.28829331488262,1.0784603260967451,-0.8438254685440453,1.2915950968060177
15,-1029.5080636634698,-4.039841023609359,1.5243090278696554,-2.427628390819756,0.28371408177191143,0.59619490449928,-1.6363501952179687
16,-1028.5076557113348,-6.0864683250222855,0.4750536106801584,-1.8339196100780142,0.2832519568196435,2.2886444187876855,-2.0209635576977245
17,-1027.5075713266758,-6.236516449752882,-0.8502692479327684,-0.5884350756633249,1.0154228441536823,1.5369105246171875,-1.158176115211027
18,-1026.50850714052,-1.8781043545960512,1.5772975804348868,-2.473069926207645,-1.5986730996203644,-0.48373808819678443,0.10740801955517519
19,-1025.5087908678836,-1.2475859843149486,2.6280191463129077,-3.0437938069961747,-1.3903023523857936,-0.3725067029944045,0.03825456818681556
20,-1024.508547889411,-3.3667579066744073,2.2646234194247747,-2.52887519198145,-0.9465354452385277,0.16955688791509754,-1.5064975695016716
21,-1023.5077092158177,-5.775684464536827,0.6139477936975608,-1.2062327381839604,-0.9717777734146286,1.5428477577856359,-1.7265088604661667
22,-1022.5074790150422,-6.326882994475783,-0.2164737517431704,-0.39163452192768083,0.004366806697741061,1.8494052583881444,-1.39239176737912
23,-1021.5072328154795,-6.60048478165406,-1.2209795785097954,0.7732677283000812,0.3441705825409959,1.449511365113003,-0.8923276614930151
24,-1020.5073472580206,-6.5791684653184594,-2.1767434241702657,1.8685724197975981,0.3432328968649776,0.8618139671610703,-0.06966250925309435
25,-1019.50736724123,-6.545578732997049,-2.0969789154995344,1.6800875261758397,0.647790039041164,0.715566480721834,-0.2574492493564622
26,-1018.5082135683763,-0.17111480018104372,7.794905606173165,-2.3615642388991387,0.9574669065066924,0.5424213786439829,-0.29041722241575807
27,-1017.5080323248412,-5.2107120566075515,0.8665388114166213,-2.6709013292220045,0.8875820616117109,0.8687227438552377,-0.9518900892325425
28,-1016.5076046200173,-6.2759962688244695,-0.5237044248537964,-1.2210960783376852,1.7729921780290583,1.632924411271407,-0.261806380601201
29,-1015.5075895688904,-6.441492844453901,-0.8809286006679182,-0.6775307990565712,1.9055548900779806,1.279446950498162,-0.5213196386173382
30,-1014.5075760164913,-6.393831051142024,-1.3433011706124487,-0.22795590085469553,1.5953011823690932,0.9864767613713862,0.014238483470875342
31,-1013.5072479494299,-6.509216389560473,-2.0258496299806983,0.604239904625755,2.102871458113761,0.36891493854993557,0.3309873436597598
